,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
772,1447684,0,20,0,75,7,15,3,365
774,950657,0,24,1,70,6,58,1,0
776,1452026,2,56,0,30,5,3,1,0
778,368528,0,15,0,64,1,1,1,0
779,1455825,1,2,1,300,3,2,1,365
781,240427,0,6,1,100,3,63,2,5
782,1151818,0,15,1,250,5,26,1,0
784,1468658,0,20,1,140,5,14,1,0
788,1464358,0,6,0,97,3,29,1,118
791,1474637,0,84,0,75,7,0,1,0
792,511175,1,19,1,180,7,24,2,125
793,1427381,0,12,1,300,7,0,2,354
795,1476954,1,7,1,175,3,10,1,0
796,1366270,0,10,0,65,4,36,2,80
798,1475866,1,19,0,300,6,1,1,0
799,1486034,1,14,1,385,1,63,1,364
803,1029021,0,6,1,100,3,21,3,43
805,1495196,0,6,1,300,2,40,1,0
808,1498424,0,13,1,175,3,35,1,289
810,347036,1,19,1,179,8,15,1,0
811,632334,0,33,1,189,2,13,1,0
814,815741,1,27,1,249,5,8,1,0
815,1454655,2,25,0,65,2,5,1,362
816,1505217,0,20,1,250,4,46,1,121
818,1470688,1,8,1,209,7,14,1,205
819,1321504,0,15,1,120,5,37,1,310
820,1509416,2,56,1,70,5,1,1,0
822,169927,1,7,1,199,3,4,1,200
824,1021834,0,15,1,100,5,0,1,0
825,910719,1,2,1,110,1,0,1,0
826,1495502,0,12,1,157,4,54,2,12
828,1521432,2,56,1,192,3,7,1,0
834,1521604,0,12,1,105,3,11,1,0
837,1523610,0,12,0,125,3,17,1,0
838,1387286,0,12,0,60,7,1,2,0
840,568585,1,8,1,300,3,36,1,29
842,1528912,2,81,0,55,1,63,2,341
843,1530106,0,15,0,44,5,2,1,0
844,1530310,0,6,0,55,5,18,3,0
845,839679,0,12,0,30,3,24,3,0
846,997124,0,13,0,35,3,1,1,0
847,1535987,0,12,0,70,1,2,1,363
850,1412944,0,12,0,75,3,0,1,358
851,236421,1,28,0,190,3,0,2,0
854,1557998,0,20,1,130,4,9,1,188
855,1550578,1,2,0,140,2,44,1,260
857,8605,1,4,1,150,7,12,1,0
858,1561505,1,4,1,90,3,51,1,311
859,1562045,1,8,1,295,1,0,1,146
860,185753,1,8,1,150,2,11,1,2
862,1577493,0,13,0,135,3,16,1,0
864,1586945,1,8,0,99,3,14,1,365
866,1390555,3,89,0,59,1,50,1,352
867,745069,1,2,0,75,3,33,3,301
868,745069,1,2,0,75,3,30,3,322
869,1597481,0,6,0,75,3,13,1,298
871,72747,0,15,1,225,4,1,1,342
874,1606222,0,29,0,100,2,61,1,90
877,279078,0,6,1,135,2,39,2,293
879,1631733,0,0,1,89,3,62,1,189
880,1632149,1,2,0,110,3,47,1,248
881,1633100,0,21,1,120,2,42,1,238
887,1366194,0,12,1,225,4,26,1,0
888,1644452,1,68,1,245,5,18,1,0
889,1644999,1,30,1,115,3,18,1,31
896,1661965,0,12,1,160,3,25,1,0
898,668564,1,28,1,159,2,32,1,7
899,51038,0,3,0,180,3,15,6,266
900,82896,1,19,1,150,5,1,1,0
901,1675255,1,26,1,106,3,12,1,271
902,1676487,1,1,1,299,10,19,1,101
904,890215,0,15,1,165,3,12,1,343
905,1680375,0,22,1,500,4,9,1,0
907,312288,1,18,0,87,7,46,2,310
908,1697784,0,12,0,79,4,42,2,52
911,547177,1,2,0,80,1,15,1,329
912,1709216,0,54,1,115,3,64,4,333
913,1709216,0,54,1,115,3,51,4,327
916,1723485,1,8,1,387,1,23,1,0
917,1732559,1,7,0,95,6,62,2,80
918,483013,1,8,1,99,2,36,1,0
919,168417,1,28,1,121,1,16,2,351
920,1740233,1,7,1,350,4,24,1,362
923,10609846,1,2,0,89,1,56,1,365
924,1746209,1,11,0,195,1,7,1,129
927,1755339,1,52,0,100,3,7,1,0
928,562614,1,23,1,140,1,53,1,0
930,202507,0,12,0,160,5,0,1,0
933,1747222,0,16,1,125,5,6,1,31
935,1785800,0,24,0,77,5,11,3,365
936,1786901,1,28,0,60,3,5,9,0
938,1474749,1,19,1,199,6,41,1,36
939,1797859,0,24,0,92,7,34,1,332
940,1251762,0,15,1,185,3,34,1,0
941,684129,1,1,1,110,7,27,1,192
942,1631288,0,12,0,65,4,30,1,139
945,390251,1,2,0,175,2,6,4,10
946,256239,1,8,0,3000,7,0,1,365
948,1842714,0,16,0,80,2,30,1,0
949,774128,0,15,1,125,5,1,1,0
950,1728785,0,20,0,120,5,3,1,242
952,1863447,0,29,0,56,3,63,1,0
954,1869567,0,20,1,190,2,5,1,0
955,1879389,0,12,0,129,3,63,2,87
958,1895957,1,8,1,145,3,22,1,0
959,1900800,1,7,1,200,7,13,1,327
960,438133,0,16,1,125,4,23,2,262
962,732535,1,2,0,160,3,10,3,359
963,732535,1,2,0,180,3,14,3,348
964,1928213,1,18,0,100,1,20,1,0
965,1930204,0,12,0,70,5,2,1,0
966,1931205,4,92,1,120,2,47,1,318
967,773928,3,93,0,110,2,6,1,363
972,1939728,1,30,0,99,3,4,1,335
974,1947974,2,94,0,75,1,59,2,0
975,1960128,2,95,2,45,1,8,2,364
979,1965972,1,43,1,225,4,27,1,169
980,1968502,1,64,0,100,5,61,1,188
981,1651591,0,20,0,90,2,2,2,89
982,1947974,2,94,0,75,1,16,2,189
983,1970839,1,50,1,350,7,0,1,0
984,1981742,1,2,1,135,5,38,1,253
985,70234,1,8,0,125,1,25,1,311
987,1985717,1,2,0,85,3,6,1,363
988,325790,1,28,1,200,7,30,1,224
989,1989327,0,10,1,250,3,17,1,5
994,2005740,1,28,1,300,4,19,1,84
995,2006712,1,2,0,125,1,0,1,365
998,2013117,1,19,1,147,2,16,1,0
1001,2018042,2,25,1,215,2,59,1,335
1004,1952186,0,12,1,145,3,7,1,270
1006,2034361,1,52,1,145,5,0,1,0
1010,405225,0,82,1,75,2,8,1,2
1012,1697784,0,12,0,120,6,62,2,15
1015,2051961,0,6,1,95,5,9,1,0
1017,2058589,1,1,1,275,2,16,1,167
1018,2059155,1,43,1,160,1,36,1,365
1019,319077,0,3,1,500,1,54,4,365
1021,2714164,0,20,1,87,6,39,2,258
1023,626289,1,19,0,125,3,28,1,364
1025,2087636,1,23,1,200,7,4,1,0
1031,2076827,1,11,1,129,7,5,1,0
1033,2116807,0,97,1,190,4,8,1,0
1034,2128778,0,15,0,55,2,62,2,57
1035,820046,1,30,0,60,2,13,1,0
1036,2141109,1,8,1,250,1,8,1,0
1037,361855,1,30,1,275,3,50,2,277
1039,644941,0,29,1,125,4,41,1,10
1041,1906804,0,70,1,70,4,40,1,273
1043,2164138,1,43,1,265,4,33,1,0
1044,2164452,1,28,0,145,5,2,1,365
1047,2168251,0,12,1,200,3,16,1,291
1048,2168468,1,19,0,110,2,64,1,74
1049,200243,1,2,0,58,1,17,2,289
1050,2169825,1,2,0,55,2,7,1,0
1052,2175110,1,19,1,350,5,4,1,0
1057,793225,1,14,1,125,9,10,1,0
1059,2206506,0,6,1,189,7,7,2,303
1060,420542,4,98,0,49,1,23,1,333
1061,2216673,1,8,1,90,4,22,1,239
1062,1109143,1,26,0,100,1,1,1,6
1063,242506,0,12,1,299,2,5,3,0
1064,1267021,2,83,0,75,5,30,3,180
1065,1267021,2,83,0,69,7,55,3,318
1072,9647066,0,79,0,55,7,28,2,333
1073,2228665,0,16,0,110,2,0,1,0
1074,2246071,0,0,1,200,1,3,1,0
1077,2107905,0,20,1,260,2,7,1,0
1078,2252261,1,23,1,225,4,13,1,195
1080,2257289,1,2,0,65,1,3,1,0
1085,2267508,1,14,1,139,4,23,1,0
1087,1594083,1,11,1,315,3,7,1,0
1088,2270183,1,2,0,75,3,36,1,47
1091,346366,0,12,1,229,3,12,1,319
1092,2282355,1,28,1,150,2,23,1,0
1093,2287727,1,26,1,129,2,47,1,177
1094,128890,1,2,1,100,8,8,1,0
1095,2286224,0,12,1,200,3,17,1,67
1096,2298239,1,23,0,89,5,4,1,0
1098,1530310,0,6,0,65,7,2,3,0
1099,2065453,0,15,1,68,2,35,3,0
1102,282315,1,23,1,311,3,31,1,28
1105,2325861,1,23,0,1300,1,0,1,0
1108,2334269,1,101,0,65,2,8,1,0
1111,2339722,1,77,1,500,10,3,1,0
1113,2147438,0,24,0,110,4,12,1,330
1114,2341078,1,8,1,180,5,13,1,0
1115,1689040,0,29,1,115,2,10,1,0
1118,2348973,0,12,1,155,5,10,1,0
1119,950232,1,7,1,117,7,0,1,0
1120,2355439,0,79,1,100,2,17,1,0
1124,2363997,1,19,1,155,6,17,1,0
1126,2368753,1,60,0,80,4,48,1,96
1128,2371814,0,33,1,150,6,2,1,0
1129,1130454,1,14,1,380,3,16,1,0
1130,1708956,0,13,1,450,2,31,1,30
1132,2374190,2,39,0,80,3,1,1,330
1138,1539749,0,6,0,55,2,22,4,297
1141,2397411,0,3,1,350,4,10,1,0
1142,2306962,0,17,1,300,2,24,1,23
1145,2407024,0,12,1,225,7,13,2,0
1146,619154,0,79,1,92,2,58,1,0
1147,864370,1,19,1,185,2,62,1,0
1149,1027283,0,79,0,50,2,33,1,20
1150,2423067,1,4,0,80,3,47,2,0
1151,2423401,0,33,0,200,5,0,1,342
1153,2427385,0,16,1,68,3,2,1,0
1155,2429432,0,16,1,220,3,27,1,68
1156,1995093,1,8,1,199,3,24,1,0
1157,2431528,1,9,1,165,5,22,1,316
1160,2442340,0,96,0,75,7,0,1,0
1161,1527535,1,27,1,499,2,63,1,26
1163,2389885,0,13,1,160,4,2,2,34
1164,2450665,0,10,1,249,3,12,1,26
1165,2455462,0,34,0,80,2,35,1,189
1167,2459648,4,69,0,35,7,2,1,90
1168,2462260,0,82,1,169,4,63,1,323
1171,1386685,1,8,1,300,7,0,1,0
1175,48599,1,14,2,50,1,61,2,0
1178,2483236,3,104,0,68,2,11,1,88
1179,2483293,1,27,1,198,3,9,1,0
1180,2483766,0,6,1,100,5,4,1,0
1181,2484383,0,12,1,175,2,15,1,64
1182,2484654,1,11,1,130,4,22,1,77
1183,471928,1,52,1,180,3,18,1,0
1184,2487309,0,29,1,209,3,56,1,160
1185,2487319,1,8,1,150,4,2,1,141
1186,2356449,1,23,1,104,3,57,1,6
1187,2490471,1,19,1,175,4,13,1,0
1188,2490915,1,28,0,80,1,1,1,0
1189,167417,0,21,0,68,2,37,1,23
1192,2349977,1,19,1,150,7,19,1,24
1194,1539749,0,6,0,49,2,46,4,301
1197,2515124,1,26,1,145,3,2,1,0
1198,2519356,0,12,1,96,3,1,1,0
1199,1840766,0,21,1,120,5,3,1,0
1200,2521848,1,19,1,160,1,15,1,0
1201,2521513,0,32,1,800,3,60,1,67
1206,2096690,0,6,1,150,10,10,2,185
1208,2538544,1,14,1,200,1,60,1,260
1210,2542895,1,14,1,130,5,9,1,0
1211,2543761,0,12,1,150,3,1,1,0
1212,696306,0,0,1,90,10,33,1,269
1213,2438262,0,12,0,95,1,10,1,0
1215,1497427,1,28,0,82,3,10,2,251
1220,2563132,1,2,0,115,7,8,1,178
1221,2440317,0,10,0,150,4,5,1,0
1223,2389494,2,87,1,69,5,5,1,4
1225,2572253,0,10,1,375,5,19,1,43
1227,184883,1,14,1,135,6,42,1,170
1229,787204,0,20,1,200,7,20,1,365
1230,1104814,1,64,1,150,5,5,1,0
1231,2582890,1,4,0,50,2,16,1,60
1232,2576980,0,29,0,60,2,0,1,0
1233,2492286,1,2,1,100,2,24,1,0
1234,2589521,1,50,1,265,3,26,1,341
1236,2590219,1,28,1,175,2,0,1,0
1237,17985,0,79,0,36,10,5,2,44
1238,2604437,1,8,1,250,4,2,2,0
1241,1816331,0,15,1,275,5,2,1,357
1243,2495836,0,12,1,450,2,11,1,0
1245,1445298,0,24,1,80,7,23,1,20
1250,367815,0,6,1,175,3,18,2,0
1252,2426404,1,14,1,230,6,6,1,0
1253,598770,0,29,0,90,7,43,1,38
1254,2630351,1,8,1,102,3,36,1,21
1255,2635819,0,21,0,59,10,19,1,0
1258,512878,1,30,1,170,1,47,2,17
1259,2640100,1,7,1,217,2,43,1,0
1261,2656413,1,53,0,58,6,18,1,0
1262,1879389,0,12,1,189,4,33,2,1
1264,1846051,1,7,1,195,3,22,2,59
1268,2676438,1,28,1,110,10,16,1,0
1269,746552,0,3,0,200,3,2,1,365
1270,1785800,0,24,0,69,4,19,3,43
1272,2687009,0,32,1,135,4,5,1,0
1273,1792568,1,43,1,500,2,63,1,79
1274,2693076,0,22,1,90,3,0,1,157
1275,2694451,0,3,1,135,3,28,1,211
1276,2694253,0,20,0,199,1,0,1,365
1277,2702563,1,19,1,90,2,5,1,0
1278,2684478,1,28,1,160,4,16,1,0
1280,2707053,1,8,1,210,3,25,1,347
1281,2277487,1,14,1,399,3,15,1,0
1282,2712998,1,23,1,300,1,45,1,111
1284,2518984,1,2,1,220,3,33,2,174
1285,2261381,0,29,1,121,2,46,1,0
1286,567226,1,18,1,120,10,25,1,129
1287,2647043,0,16,0,152,2,23,1,365
1288,1267900,0,34,1,250,2,57,1,25
1290,2740824,0,20,1,104,11,22,1,0
1291,2750389,0,20,1,120,5,40,1,0
1293,2755668,0,33,1,90,4,1,1,0
1295,2770985,1,52,1,145,5,1,1,0
1297,2378357,1,14,0,125,2,42,1,172
1300,532819,0,6,0,50,2,1,1,0
1302,2788488,0,6,1,80,4,42,1,245
1303,2790324,0,6,1,150,5,3,1,0
1307,2805772,0,13,1,130,2,11,1,0
1316,426725,1,7,1,165,3,25,1,0
1317,2837527,1,8,1,165,4,4,1,0
1319,2841175,1,19,1,100,5,6,1,0
1320,2841374,0,15,0,80,7,10,1,365
1322,2847655,0,16,1,159,2,4,1,0
1324,2311767,1,4,0,75,2,51,1,77
1326,2861848,0,20,0,150,2,28,1,72
1327,2861854,2,106,1,92,1,55,1,8
1328,2712129,0,20,0,75,5,1,1,0
1330,2874587,0,33,1,115,4,61,1,15
1336,311286,0,15,0,80,2,5,4,311
1337,2897835,0,12,0,48,5,1,1,0
1338,2897329,1,11,1,200,7,34,1,217
1340,807642,0,67,0,72,1,61,2,335
1343,1345769,1,2,0,75,5,46,1,343
1345,2919467,1,77,0,229,1,62,1,36
1346,2920855,0,32,1,175,10,8,1,0
1347,2932668,0,6,1,140,3,16,1,0
1348,2926404,0,6,0,54,2,19,1,220
